GeneID	KEGG	KO	description	pathways	UniProt
AT5G19950	ath:AT5G19950	K18404	tudor domain-containing protein 3	(--,--)	Q8L502
AT2G35350	ath:AT2G35350	No_KO	--	(--,--)	O82302
AT3G60870	ath:AT3G60870	No_KO	--	(--,--)	Q9LZX7
AT4G17800	ath:AT4G17800	No_KO	--	(--,--)	O23620
AT5G43820	ath:AT5G43820	No_KO	--	(--,--)	P0C8R0
AT1G70820	ath:AT1G70820	No_KO	--	(--,--)	A0A1P8AN09
AT5G65440	ath:AT5G65440	No_KO	--	(--,--)	B3H553
AT5G54250	ath:AT5G54250	No_KO	--	(--,--)	Q94AS9
AT2G47110	ath:AT2G47110	K02977	small subunit ribosomal protein S27Ae	{'ath03010': 'Ribosome'}	P59232
AT5G45116	No_KEGG	--	--	(--,--)	--
AT1G05300	ath:AT1G05300	K14709	solute carrier family 39 (zinc transporter), member 1/2/3	(--,--)	O23039
AT2G02810	ath:AT2G02810	K15275	solute carrier family 35 (UDP-galactose transporter), member B1	(--,--)	O64503
AT2G32410	ath:AT2G32410	K04532	amyloid beta precursor protein binding protein 1	(--,--)	Q9ZV69
AT3G62980	ath:AT3G62980	K14485	transport inhibitor response 1	{'ath04075': 'Plant hormone signal transduction'}	Q570C0
AT5G40680	ath:AT5G40680	No_KO	--	(--,--)	Q9FM30
AT5G63200	ath:AT5G63200	No_KO	--	(--,--)	A0A1R7T396
AT1G07650	ath:AT1G07650	No_KO	--	(--,--)	C0LGE0
AT1G69170	ath:AT1G69170	No_KO	--	(--,--)	Q94JW8
AT1G26890	ath:AT1G26890	No_KO	--	(--,--)	A0A1P8AVA9
AT1G27370	ath:AT1G27370	No_KO	--	(--,--)	Q8S9L0
AT1G27360	ath:AT1G27360	No_KO	--	(--,--)	Q9FZK0
AT1G22000	ath:AT1G22000	No_KO	--	(--,--)	Q9LM63
AT1G53160	ath:AT1G53160	No_KO	--	(--,--)	Q9S7A9
AT2G42200	ath:AT2G42200	No_KO	--	(--,--)	Q700W2
AT3G57920	ath:AT3G57920	No_KO	--	(--,--)	Q9M2Q6
AT3G15270	ath:AT3G15270	No_KO	--	(--,--)	Q9S758
AT3G47010	ath:AT3G47010	K05349	beta-glucosidase [EC:3.2.1.21]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00460': 'Cyanoamino acid metabolism', 'ath00500': 'Starch and sucrose metabolism', 'ath01100': 'Metabolic pathways', 'ath00940': 'Phenylpropanoid biosynthesis'}	F4JAB3
AT4G07965	ath:AT4G07965	No_KO	--	(--,--)	F4JFX4
AT1G80410	ath:AT1G80410	K20792	N-alpha-acetyltransferase 15/16, NatA auxiliary subunit	(--,--)	Q8VZM1
AT1G30010	ath:AT1G30010	No_KO	--	(--,--)	Q9C8R8
AT2G46020	ath:AT2G46020	K11647	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:3.6.4.-]	(--,--)	Q6EVK6
AT1G79220	ath:AT1G79220	K15032	mTERF domain-containing protein, mitochondrial	(--,--)	O64531
AT1G62670	ath:AT1G62670	No_KO	--	(--,--)	Q9SXD1
AT1G64583	ath:AT1G64583	No_KO	--	(--,--)	P0C7R3
AT5G41170	ath:AT5G41170	No_KO	--	(--,--)	Q9FLL3
AT1G63400	ath:AT1G63400	No_KO	--	(--,--)	Q9SH26
AT1G62910	ath:AT1G62910	No_KO	--	(--,--)	Q9LQ16
AT1G62930	ath:AT1G62930	No_KO	--	(--,--)	Q9LQ14
AT1G63130	ath:AT1G63130	No_KO	--	(--,--)	Q9CAN0
AT1G63080	ath:AT1G63080	No_KO	--	(--,--)	Q9CAN5
AT1G06580	ath:AT1G06580	No_KO	--	(--,--)	Q9SHK2
AT1G62860	No_KEGG	--	--	(--,--)	--
AT1G48267	ath:AT1G48267	No_KO	--	(--,--)	--
AT5G16640	ath:AT5G16640	No_KO	--	(--,--)	Q9FMD3
AT1G63150	ath:AT1G63150	No_KO	--	(--,--)	Q9CAM8
AT1G63230	ath:AT1G63230	No_KO	--	(--,--)	Q0IGJ6
AT1G05750	ath:AT1G05750	No_KO	--	(--,--)	Q9MA50
AT2G47020	ath:AT2G47020	K02835	peptide chain release factor 1	(--,--)	F4IK58
AT2G31860	No_KEGG	--	--	(--,--)	--
AT2G31865	ath:AT2G31865	K07759	poly(ADP-ribose) glycohydrolase [EC:3.2.1.143]	(--,--)	Q8VYA1
AT4G37030	ath:AT4G37030	No_KO	--	(--,--)	Q58FU6
AT3G11964	ath:AT3G11964	K14792	rRNA biogenesis protein RRP5	(--,--)	F4J8K6
AT1G19220	ath:AT1G19220	No_KO	--	(--,--)	Q8RYC8
AT3G14120	ath:AT3G14120	K14301	nuclear pore complex protein Nup107	{'ath03013': 'RNA transport'}	Q8L748
AT2G47015	ath:AT2G47015	No_KO	--	(--,--)	--
AT4G09290	No_KEGG	--	--	(--,--)	--
AT5G64790	ath:AT5G64790	No_KO	--	(--,--)	Q9LV98
AT3G23810	ath:AT3G23810	K01251	adenosylhomocysteinase [EC:3.3.1.1]	{'ath00270': 'Cysteine and methionine metabolism', 'ath01100': 'Metabolic pathways'}	Q9LK36
AT2G33810	ath:AT2G33810	No_KO	--	(--,--)	P93015
AT5G43270	ath:AT5G43270	No_KO	--	(--,--)	Q9S840
AT5G50570	ath:AT5G50570	No_KO	--	(--,--)	B9DI20
AT1G49910	ath:AT1G49910	K02180	cell cycle arrest protein BUB3	(--,--)	Q9C701
AT5G61010	ath:AT5G61010	K07195	exocyst complex component 7	(--,--)	Q9FNR3
AT2G46590	ath:AT2G46590	No_KO	--	(--,--)	Q9ZPY0
AT3G03580	ath:AT3G03580	No_KO	--	(--,--)	Q9SS60
AT5G16910	ath:AT5G16910	K20924	cellulose synthase-like protein [EC:2.4.1.-]	(--,--)	Q9LFL0
AT4G08950	ath:AT4G08950	No_KO	--	(--,--)	Q9ZPE7
AT5G17240	ath:AT5G17240	No_KO	--	(--,--)	Q6NQJ8
AT1G15430	ath:AT1G15430	No_KO	--	(--,--)	Q9C5E6
AT1G12730	ath:AT1G12730	K05293	phosphatidylinositol glycan, class U	{'ath00563': 'Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'ath01100': 'Metabolic pathways'}	Q94K70
AT1G47530	ath:AT1G47530	K03327	multidrug resistance protein, MATE family	(--,--)	Q9SX83
AT1G19400	ath:AT1G19400	No_KO	--	(--,--)	Q8VYC6
AT3G06450	ath:AT3G06450	No_KO	--	(--,--)	Q93Z13
AT4G35785	ath:AT4G35785	K12897	transformer-2 protein	{'ath03040': 'Spliceosome'}	F4JNU3
AT1G30600	ath:AT1G30600	No_KO	--	(--,--)	Q9SA75
AT4G08103	No_KEGG	--	--	(--,--)	--
AT2G06210	ath:AT2G06210	K15176	RNA polymerase-associated protein CTR9	(--,--)	B5X0I6
AT3G43300	ath:AT3G43300	K13462	guanine nucleotide-exchange factor	(--,--)	F4IXW2
AT1G14360	ath:AT1G14360	K15275	solute carrier family 35 (UDP-galactose transporter), member B1	(--,--)	Q9M9S6
AT1G49240	ath:AT1G49240	K10355	actin, other eukaryote	(--,--)	Q96293
AT4G29560	ath:AT4G29560	No_KO	--	(--,--)	Q9SU89
AT2G41590	ath:AT2G41590	No_KO	--	(--,--)	O22221
AT3G03010	ath:AT3G03010	K04794	peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]	(--,--)	Q9M8U2
AT4G31441	ath:AT4G31441	No_KO	--	(--,--)	B3H6Z9
AT5G08440	ath:AT5G08440	No_KO	--	(--,--)	F4KB24
AT1G58848	ath:AT1G58848	No_KO	--	(--,--)	P0DI17
AT1G59218	ath:AT1G59218	No_KO	--	(--,--)	P0DI17
AT1G33250	ath:AT1G33250	No_KO	--	(--,--)	Q9C881
AT5G14550	ath:AT5G14550	No_KO	--	(--,--)	A0A1P8BAC3
AT3G32205	No_KEGG	--	--	(--,--)	--
AT5G14565	ath:AT5G14565	No_KO	--	(--,--)	--
AT5G14545	ath:AT5G14545	No_KO	--	(--,--)	--
AT2G10910	No_KEGG	--	--	(--,--)	--
AT1G02690	ath:AT1G02690	No_KO	--	(--,--)	Q9FWY7
AT1G48090	ath:AT1G48090	K19525	vacuolar protein sorting-associated protein 13A/C	(--,--)	A0A1P8AMQ1
AT1G30210	ath:AT1G30210	No_KO	--	(--,--)	Q9C758
AT4G18390	ath:AT4G18390	No_KO	--	(--,--)	Q93V43
AT2G18090	ath:AT2G18090	No_KO	--	(--,--)	A0A1P8B2P9
AT5G53980	ath:AT5G53980	No_KO	--	(--,--)	Q9FN29
AT4G16620	ath:AT4G16620	No_KO	--	(--,--)	F4JMI7
AT5G26310	ath:AT5G26310	K12356	coniferyl-alcohol glucosyltransferase [EC:2.4.1.111]	{'ath00940': 'Phenylpropanoid biosynthesis'}	O81498
AT1G14200	ath:AT1G14200	No_KO	--	(--,--)	Q9XI67
AT3G20050	ath:AT3G20050	K09493	T-complex protein 1 subunit alpha	(--,--)	P28769
AT4G20410	ath:AT4G20410	K21198	gamma-soluble NSF attachment protein	(--,--)	Q9SPE5
AT4G14360	ath:AT4G14360	No_KO	--	(--,--)	Q93YV7
AT5G53540	ath:AT5G53540	No_KO	--	(--,--)	Q9FJC9
AT3G19040	ath:AT3G19040	K03125	transcription initiation factor TFIID subunit 1	{'ath03022': 'Basal transcription factors'}	Q6PUA2
AT2G35930	ath:AT2G35930	No_KO	--	(--,--)	Q84TG3
AT1G10120	ath:AT1G10120	No_KO	--	(--,--)	Q6NKN9
AT2G22840	ath:AT2G22840	No_KO	--	(--,--)	O81001
AT2G36400	ath:AT2G36400	No_KO	--	(--,--)	Q9SJR5
AT3G52910	ath:AT3G52910	No_KO	--	(--,--)	Q8L8A7
AT4G37740	ath:AT4G37740	No_KO	--	(--,--)	Q8L8A8
AT1G58020	No_KEGG	--	--	(--,--)	--
AT2G36145	ath:AT2G36145	No_KO	--	(--,--)	Q8VXY0
AT5G07180	ath:AT5G07180	K20718	LRR receptor-like serine/threonine-protein kinase ERECTA [EC:2.7.11.1]	{'ath04016': 'MAPK signaling pathway - plant'}	Q6XAT2
AT1G80060	ath:AT1G80060	No_KO	--	(--,--)	Q5XEN2
AT1G35370	No_KEGG	--	--	(--,--)	--
AT2G16390	ath:AT2G16390	K10875	DNA repair and recombination protein RAD54 and RAD54-like protein [EC:3.6.4.-]	{'ath03440': 'Homologous recombination'}	Q9SIW2
AT2G40760	ath:AT2G40760	No_KO	--	(--,--)	Q1JPN0
AT3G14880	ath:AT3G14880	No_KO	--	(--,--)	Q4PSP3
AT2G21600	ath:AT2G21600	No_KO	--	(--,--)	O48671
AT1G52100	ath:AT1G52100	No_KO	--	(--,--)	Q5XF82
AT2G03260	ath:AT2G03260	No_KO	--	(--,--)	Q6R8G8
AT4G37770	ath:AT4G37770	K01762	1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00270': 'Cysteine and methionine metabolism', 'ath01100': 'Metabolic pathways'}	Q9T065
AT4G09650	ath:AT4G09650	K02113	F-type H+-transporting ATPase subunit delta	{'ath00190': 'Oxidative phosphorylation', 'ath01100': 'Metabolic pathways', 'ath00195': 'Photosynthesis'}	Q9SSS9
AT1G08030	ath:AT1G08030	K22218	protein-tyrosine sulfotransferase [EC:2.8.2.20]	(--,--)	Q3EDG5
AT1G62981	ath:AT1G62981	No_KO	--	(--,--)	Q9LQ06
AT1G79770	ath:AT1G79770	No_KO	--	(--,--)	Q9CA85
AT1G50280	ath:AT1G50280	No_KO	--	(--,--)	Q8RXR6
AT4G18890	ath:AT4G18890	No_KO	--	(--,--)	O49404
AT5G60680	ath:AT5G60680	No_KO	--	(--,--)	Q9FF51
AT2G39570	ath:AT2G39570	No_KO	--	(--,--)	O80644
AT2G21460	No_KEGG	--	--	(--,--)	--
AT1G31260	ath:AT1G31260	K14709	solute carrier family 39 (zinc transporter), member 1/2/3	(--,--)	Q8W245
AT5G06180	ath:AT5G06180	No_KO	--	(--,--)	A0A1P8BB40
AT1G77850	ath:AT1G77850	No_KO	--	(--,--)	Q84WU6
AT2G28350	ath:AT2G28350	No_KO	--	(--,--)	Q9SKN5
AT4G30080	ath:AT4G30080	No_KO	--	(--,--)	Q93YR9
AT1G10350	ath:AT1G10350	K09510	DnaJ homolog subfamily B member 4	(--,--)	Q9SY77
AT1G53230	ath:AT1G53230	No_KO	--	(--,--)	Q9MAH8
AT2G31070	ath:AT2G31070	No_KO	--	(--,--)	O82277
AT2G40805	ath:AT2G40805	No_KO	--	(--,--)	--
AT3G66658	ath:AT3G66658	No_KO	--	(--,--)	Q0WSF1
AT3G15030	ath:AT3G15030	No_KO	--	(--,--)	Q8LPR5
AT1G31280	ath:AT1G31280	K11593	eukaryotic translation initiation factor 2C	(--,--)	Q9SHF3
AT2G47275	ath:AT2G47275	No_KO	--	(--,--)	--
AT1G48560	ath:AT1G48560	No_KO	--	(--,--)	F4HYH8
AT3G49040	ath:AT3G49040	No_KO	--	(--,--)	Q9SMU1
AT1G52770	ath:AT1G52770	No_KO	--	(--,--)	Q9C941
AT3G25620	ath:AT3G25620	No_KO	--	(--,--)	Q7XA72
AT1G60410	ath:AT1G60410	No_KO	--	(--,--)	O80762
AT3G12590	ath:AT3G12590	No_KO	--	(--,--)	A0A1I9LQC1
AT3G25720	ath:AT3G25720	No_KO	--	(--,--)	Q3EB05
AT1G63630	ath:AT1G63630	No_KO	--	(--,--)	Q6DR07
AT1G63330	ath:AT1G63330	No_KO	--	(--,--)	Q9C8T7
AT1G62590	ath:AT1G62590	No_KO	--	(--,--)	Q9SXD8
AT1G61180	ath:AT1G61180	No_KO	--	(--,--)	Q940K0
AT5G65560	ath:AT5G65560	No_KO	--	(--,--)	Q9LSL9
AT1G34610	No_KEGG	--	--	(--,--)	--
AT3G09170	No_KEGG	--	--	(--,--)	--
AT1G64100	ath:AT1G64100	No_KO	--	(--,--)	Q9SH60
AT2G41720	ath:AT2G41720	No_KO	--	(--,--)	Q8RWS8
AT2G38970	ath:AT2G38970	No_KO	--	(--,--)	F4IU12
AT1G68720	ath:AT1G68720	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	(--,--)	Q9S7I0
AT1G79950	ath:AT1G79950	K11136	regulator of telomere elongation helicase 1 [EC:3.6.4.12]	(--,--)	F4HQE2
AT4G12830	ath:AT4G12830	No_KO	--	(--,--)	Q93ZN4
AT2G11940	No_KEGG	--	--	(--,--)	--
AT4G32510	ath:AT4G32510	No_KO	--	(--,--)	Q9SUU1
AT4G27310	ath:AT4G27310	No_KO	--	(--,--)	O81834
AT2G14260	ath:AT2G14260	K01259	proline iminopeptidase [EC:3.4.11.5]	{'ath00330': 'Arginine and proline metabolism'}	P93732
AT3G44330	ath:AT3G44330	No_KO	--	(--,--)	Q9M292
AT3G57630	ath:AT3G57630	No_KO	--	(--,--)	Q6NKR6
AT2G07213	ath:AT2G07213	No_KO	--	(--,--)	--
AT4G27580	ath:AT4G27580	No_KO	--	(--,--)	Q8L9A7
AT1G12820	ath:AT1G12820	No_KO	--	(--,--)	Q9LPW7
AT3G26810	ath:AT3G26810	No_KO	--	(--,--)	Q9LW29
AT3G23690	ath:AT3G23690	No_KO	--	(--,--)	Q9LK48
AT4G03190	ath:AT4G03190	No_KO	--	(--,--)	Q9ZR12
AT2G38470	ath:AT2G38470	K13424	WRKY transcription factor 33	{'ath04626': 'Plant-pathogen interaction', 'ath04016': 'MAPK signaling pathway - plant'}	Q8S8P5
AT1G60470	ath:AT1G60470	K18819	inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]	{'ath00052': 'Galactose metabolism'}	O22693
AT4G35630	ath:AT4G35630	K00831	phosphoserine aminotransferase [EC:2.6.1.52]	{'ath00260': 'Glycine, serine and threonine metabolism', 'ath00750': 'Vitamin B6 metabolism', 'ath01200': 'Carbon metabolism', 'ath01100': 'Metabolic pathways', 'ath01230': 'Biosynthesis of amino acids'}	Q96255
AT5G66150	ath:AT5G66150	K01191	alpha-mannosidase [EC:3.2.1.24]	{'ath00511': 'Other glycan degradation'}	Q9FKW9
AT1G60160	ath:AT1G60160	K03549	KUP system potassium uptake protein	(--,--)	O80739
AT1G26558	ath:AT1G26558	No_KO	--	(--,--)	--
AT3G25480	ath:AT3G25480	No_KO	--	(--,--)	Q56XR7
AT4G32570	ath:AT4G32570	No_KO	--	(--,--)	Q84MB2
AT4G11590	ath:AT4G11590	No_KO	--	(--,--)	Q9T0C7
AT5G11380	ath:AT5G11380	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00730': 'Thiamine metabolism', 'ath01100': 'Metabolic pathways', 'ath00900': 'Terpenoid backbone biosynthesis'}	Q0WUB4
AT2G35830	ath:AT2G35830	No_KO	--	(--,--)	Q9SJ67
AT5G04690	ath:AT5G04690	No_KO	--	(--,--)	A0A1P8BCP0
AT1G79090	ath:AT1G79090	K12617	DNA topoisomerase 2-associated protein PAT1	{'ath03018': 'RNA degradation'}	Q0WPK4
AT2G35710	ath:AT2G35710	No_KO	--	(--,--)	Q8VZP6
AT5G32613	ath:AT5G32613	No_KO	--	(--,--)	F4KFU0
AT5G33075	No_KEGG	--	--	(--,--)	--
AT5G11300	ath:AT5G11300	K06627	cyclin-A	(--,--)	Q147G5
AT1G01200	ath:AT1G01200	No_KO	--	(--,--)	Q9LNK1
AT1G74850	ath:AT1G74850	No_KO	--	(--,--)	Q9S7Q2
AT1G59540	ath:AT1G59540	K11498	centromeric protein E	(--,--)	Q9S7P3
AT5G55010	ath:AT5G55010	No_KO	--	(--,--)	Q9FIA5
AT1G79740	ath:AT1G79740	No_KO	--	(--,--)	Q9SQN5
AT1G75295	ath:AT1G75295	No_KO	--	(--,--)	--
AT2G23740	ath:AT2G23740	No_KO	--	(--,--)	O64827
AT2G38370	ath:AT2G38370	No_KO	--	(--,--)	F4ISY0
AT4G14810	ath:AT4G14810	No_KO	--	(--,--)	F4JIG2
AT3G05675	ath:AT3G05675	No_KO	--	(--,--)	Q8RX01
AT3G25600	ath:AT3G25600	K13448	calcium-binding protein CML	{'ath04626': 'Plant-pathogen interaction'}	Q9LI84
AT1G02940	ath:AT1G02940	K00799	glutathione S-transferase [EC:2.5.1.18]	{'ath00480': 'Glutathione metabolism'}	Q9SRY6
AT1G23540	ath:AT1G23540	No_KO	--	(--,--)	Q9ZUE0
AT2G06350	No_KEGG	--	--	(--,--)	--
AT4G06656	No_KEGG	--	--	(--,--)	--
AT4G15590	No_KEGG	--	--	(--,--)	--
AT1G65990	ath:AT1G65990	No_KO	--	(--,--)	Q7G959
AT2G47870	ath:AT2G47870	No_KO	--	(--,--)	O82254
AT3G62610	ath:AT3G62610	K09422	transcription factor MYB, plant	(--,--)	Q9LZK4
AT5G36820	ath:AT5G36820	No_KO	--	(--,--)	P0DI00
AT5G36730	ath:AT5G36730	No_KO	--	(--,--)	P0DI00
AT5G41490	ath:AT5G41490	No_KO	--	(--,--)	Q9FH73
AT1G27340	ath:AT1G27340	No_KO	--	(--,--)	Q9FZK1
AT5G56950	ath:AT5G56950	K11279	nucleosome assembly protein 1-like 1	(--,--)	Q94K07
AT3G29660	No_KEGG	--	--	(--,--)	--
AT4G22090	ath:AT4G22090	K01728	pectate lyase [EC:4.2.2.2]	{'ath00040': 'Pentose and glucuronate interconversions'}	O65457
AT4G22080	ath:AT4G22080	K01728	pectate lyase [EC:4.2.2.2]	{'ath00040': 'Pentose and glucuronate interconversions'}	O65456
AT5G64580	ath:AT5G64580	No_KO	--	(--,--)	F4KF14
AT3G10010	ath:AT3G10010	No_KO	--	(--,--)	Q9SR66
AT2G16440	ath:AT2G16440	K02212	DNA replication licensing factor MCM4 [EC:3.6.4.12]	{'ath03030': 'DNA replication'}	Q0WVF5
AT3G17790	ath:AT3G17790	K14379	tartrate-resistant acid phosphatase type 5 [EC:3.1.3.2]	{'ath00740': 'Riboflavin metabolism', 'ath01100': 'Metabolic pathways'}	Q9SCX8
AT3G52920	ath:AT3G52920	No_KO	--	(--,--)	Q8L9S7
AT2G45240	ath:AT2G45240	K01265	methionyl aminopeptidase [EC:3.4.11.18]	(--,--)	Q9SLN5
AT3G32970	No_KEGG	--	--	(--,--)	--
AT4G16150	ath:AT4G16150	No_KO	--	(--,--)	O23463
AT4G07942	No_KEGG	--	--	(--,--)	--
AT4G06704	No_KEGG	--	--	(--,--)	--
AT5G32495	No_KEGG	--	--	(--,--)	--
AT3G58360	ath:AT3G58360	No_KO	--	(--,--)	Q9M2I0
AT5G51840	ath:AT5G51840	No_KO	--	(--,--)	Q2HIW6
AT1G78915	ath:AT1G78915	No_KO	--	(--,--)	F4IBX4
AT1G26990	No_KEGG	--	--	(--,--)	--
